Date,Benchmark,100% Portfolio,"80% Portfolio, 20% Benchmark"
2009-01-01,101.43806755755946,99.54495735241781,99.92357939344615
2009-02-01,95.54068908876478,96.53168821676357,96.34192932739337
2009-03-01,83.52015451643307,88.6186491372283,87.59967356060402
2009-04-01,94.49808518158218,92.87696208163418,93.26998171176312
2009-05-01,103.89797334654934,102.94234434786182,103.2119071073611
2009-06-01,107.18029675864551,109.98024405383524,109.50910018432509
2009-07-01,108.95796771748239,112.0391148807958,111.51240006127097
2009-08-01,119.31082822082011,118.5625646747618,118.82574063050863
2009-09-01,123.98832758820559,124.77378086544739,124.7374396906604
2009-10-01,127.31988130234191,131.5148904664607,130.7990931138591
2009-11-01,126.85787524999476,128.3225191708138,128.16416998134594
2009-12-01,128.84518490808355,128.6716106673276,128.8446532770855
2010-01-01,132.23455202485556,132.0919307536472,132.26245979658543
2010-02-01,131.78653625444852,136.4825378599171,135.68985799241688
2010-03-01,136.49145578521927,135.8875186530334,136.18546174057718
2010-04-01,142.27654270409147,145.37849704581257,144.94931569169074
2010-05-01,137.60839089890354,143.68646067007685,142.64851341101323
2010-06-01,130.7717856564702,135.90565275301674,135.0514307077902
2010-07-01,124.6672937930664,133.37568059911683,131.77932094028915
2010-08-01,134.67508051687548,137.9697949501896,137.52636554590782
2010-09-01,134.31814961633552,137.18525619449176,136.82785418355388
2010-10-01,134.32126328528648,143.03764086580765,141.49819874573458
2010-11-01,139.15107911095492,148.32040974710608,146.6965048835494
2010-12-01,138.2488862863948,151.26035921517064,148.83249093728125
2011-01-01,141.21113475693036,157.29535222543404,154.22079609622
2011-02-01,143.7653400927748,159.77514819802096,156.72376044782914
2011-03-01,145.225665992865,160.98202912898137,157.98921671309378
2011-04-01,142.2550942753605,161.7030311668974,157.90896534980072
2011-05-01,144.49807561260667,162.40048057566142,158.9517935579192
2011-06-01,142.74015491857787,159.37696344582503,156.19759297609824
2011-07-01,136.92887430132606,151.9605589903108,149.1109949972201
2011-08-01,126.95466001585598,141.94562258404545,139.07696832288448
2011-09-01,120.51303554321697,130.9220156471437,129.02496727257616
2011-10-01,118.85194427580292,125.62722291952606,124.49482685798594
2011-11-01,121.9284110666551,128.95369254499687,127.77652129565024
2011-12-01,123.90241221422383,127.60554642040076,127.12158600381372
2012-01-01,128.25619215523716,130.7383160781265,130.5116761429763
2012-02-01,133.64747593109288,137.08663207962726,136.67874363405846
2012-03-01,135.1231022137391,141.5277317366737,140.52287111155275
2012-04-01,138.14606711119487,144.153494702915,143.23732057946975
2012-05-01,134.36706414985494,144.85168557857392,143.00866840530747
2012-06-01,127.27728927793025,136.114433000565,134.5986524369102
2012-07-01,133.52454919690686,138.61165258289986,137.89550485096956
2012-08-01,138.55202039065495,143.2820293545814,142.65091169561325
2012-09-01,139.6445728835199,142.35970163098483,142.14127445851324
2012-10-01,143.7981454673441,145.94744884765308,145.85263523234266
2012-11-01,146.902528999947,146.97895423429102,147.30705082332221
2012-12-01,150.05449407177122,144.7991124156954,146.19141348534242
2013-01-01,150.13081680880495,147.89613042812465,148.70772271247338
2013-02-01,162.50067581408402,156.63835494732962,158.19040222869856
2013-03-01,166.07258932840034,161.8793369726949,163.12016591357585
2013-04-01,169.695134418932,162.73337887218165,164.5202652812039
2013-05-01,172.3042968266927,160.98911449463841,163.61545067790306
2013-06-01,170.8533853039294,161.12167338398186,163.44767863059556
2013-07-01,169.83527332171008,158.93629271984148,161.4793386982823
2013-08-01,173.44086480035844,162.31906395313206,164.9144953777201
2013-09-01,175.63047025656337,166.64643675451626,168.8481411453256
2013-10-01,179.39356767000578,172.99644253444745,174.7188174718042
2013-11-01,182.47151721763234,178.20165799842917,179.5239973624674
2013-12-01,183.3651080724841,181.12933690502885,182.0593515615332
2014-01-01,183.0933071025466,183.58412599429982,183.97929309947045
2014-02-01,181.959477866375,189.43088084975437,188.43890198957914
2014-03-01,186.6103217206104,191.6217273794384,191.14569239574416
2014-04-01,191.18883758497824,197.76992780516508,196.98999222645605
2014-05-01,191.98787539240095,198.15213818134066,197.4592112124744
2014-06-01,195.59781649078565,206.74224363566393,205.0498279661324
2014-07-01,193.97833454242493,218.08523870872617,213.71039171607634
2014-08-01,190.17464263838434,215.18838838843166,210.60127775320802
2014-09-01,196.83534796572297,218.65131587549342,214.7877913126369
2014-10-01,197.21328957425806,215.3420362422935,212.2696294314938
2014-11-01,196.49357756973905,213.63045374560997,210.76496777763373
2014-12-01,204.88660348758154,221.03484945179034,218.4095533369129
2015-01-01,202.4358447215235,222.1181822724959,218.74342313544034
2015-02-01,191.11078178479124,213.61891047861502,209.59983815672243
2015-03-01,206.19348573820866,230.5773798339718,226.21974211736213
2015-04-01,209.52478126677724,238.92568225432117,233.5031342769685
2015-05-01,209.11028584555615,241.82042915983723,235.67398733143418
2015-06-01,213.28335008615608,242.09535952295073,236.8289766162619
2015-07-01,206.49903422353378,235.19479753577883,229.92195982343114
2015-08-01,219.2946966566883,242.02696095371445,238.114565875808
2015-09-01,201.87749141106397,234.58656982557318,228.47608289704397
2015-10-01,199.57089029830084,230.646762066922,224.8842336799338
2015-11-01,209.92918516562767,239.9134477345987,234.44679134471392
2015-12-01,212.0414002746907,242.80302459752332,237.177559521799
2016-01-01,209.3665056059949,244.40085813153183,237.82781310256755
2016-02-01,200.1383717948516,237.53412796749762,230.38564944684978
2016-03-01,195.50351819326823,238.5019975881191,230.06957757813683
2016-04-01,192.2874957932979,244.42677437741972,233.88489256322114
2016-05-01,198.0346207311395,243.58131713666822,234.63577690487446
2016-06-01,202.52691136621453,249.6798111512911,240.3999109965185
2016-07-01,200.77722775782277,248.5709752774365,239.13043646370193
2016-08-01,202.97316957571718,256.32645999142596,245.62226999990915
2016-09-01,204.30333271472728,260.6023417393462,249.2220586795844
2016-10-01,205.73780843420718,265.7326173282608,253.49702407257558
2016-11-01,198.18075608732786,259.0501017452588,246.53490372197635
2016-12-01,199.89981817980217,262.71775834257875,249.75497513855785
2017-01-01,208.90810544602635,267.29990964739204,255.49081757821082
2017-02-01,212.42888216242469,276.97987383843883,263.75383578255236
2017-03-01,220.0999215644166,288.7748718039235,274.64414467585533
2017-04-01,221.24505343822403,293.22427622772335,278.31527145235646
2017-05-01,226.907255469929,301.3199028958883,285.88702841143487
2017-06-01,231.92625592106188,306.6165798153435,291.17206042280895
2017-07-01,231.5712791303333,304.0459144808144,289.1299861138418
2017-08-01,233.26497542380218,308.3501741160904,292.82740196739013
2017-09-01,231.39300074668006,305.8412474961542,290.4513091093812
2017-10-01,238.40416728796234,311.6423503473248,296.61878663515
2017-11-01,241.69266475420642,320.25122298565134,303.992173086747
2017-12-01,241.4081058958765,317.3705076196368,301.733021635891
2018-01-01,244.5450810643661,327.02611543946995,309.86108018492746
2018-02-01,244.9432470935769,338.8036693211911,318.88947912821976
2018-03-01,233.75120344990466,324.19971756407944,304.97886535386425
2018-04-01,233.1552286941795,320.5796776136909,302.0990151265156
2018-05-01,237.55479243131782,327.87441233199723,308.73848563335315
2018-06-01,233.63707704525277,327.07553402780763,307.1183502340595
2018-07-01,231.9081728958023,320.37161769537437,301.6279272483634
2018-08-01,244.5797580956754,321.7604944594291,305.9702443504023
2018-09-01,242.36112632812933,326.2803154910264,308.85355122188696
2018-10-01,244.17838091276803,318.4525535154188,303.38897345098246
2018-11-01,240.06833992443987,305.9219948075271,292.81737098490237
2018-12-01,239.7977172175518,292.9674908820993,282.8316911452391
2019-01-01,224.55665765743987,273.13446851452204,263.91896145778435
2019-02-01,238.80106954189156,288.83108823187524,279.40083638318225
2019-03-01,247.92557527217286,295.8174502930322,286.9426056020562
2019-04-01,252.01726212077546,295.4088170867606,287.5726289536578
2019-05-01,257.9074143660992,299.8464297378741,292.37277788582605
2019-06-01,254.69217578660346,287.8957769172088,282.32156983225565
2019-07-01,263.1737732715365,297.25280473222847,291.5425950832264
2019-08-01,263.37178420889916,292.09780197555745,287.5416858341598
2019-09-01,264.08701798156955,289.3014840334399,285.4956991634149
2019-10-01,264.9281069453359,295.9257067693259,290.90721826085127
2019-11-01,270.8807078505059,301.40382575731184,296.5226561900979
2019-12-01,274.0950896804306,307.8726169064292,302.3176125199154
2020-01-01,280.7465169902032,316.0123678514137,310.1791794790327
2020-02-01,282.5454755622259,318.43206279523406,312.476715078493
2020-03-01,266.44939643773614,303.3003923542083,297.03753291650656
2020-04-01,249.91871873295048,288.6834100895704,281.8997315832175
2020-05-01,261.5192516625923,305.0697538255833,297.3177611873443
2020-06-01,268.2962433504641,314.3887233320793,306.1244309757694
2020-07-01,273.79413687723456,321.5532238540095,312.9599784319158
2020-08-01,278.13672460925994,327.41477510285,318.5166610040086
2020-09-01,281.83702234538407,360.1908885459528,344.87245110973015
2020-10-01,283.45096090038635,358.681900225127,344.11158279539944
2020-11-01,273.32056803274793,346.25209785844703,332.11200350441163
2020-12-01,291.0584931416678,376.7069021211996,359.79155966195697
2021-01-01,297.86130548854595,389.87345147382456,371.5336805086932
2021-02-01,300.0059750311324,398.5915492921371,378.7151025908549
2021-03-01,301.2084214853795,410.1847645790568,387.8307661831641
2021-04-01,314.63749788611966,441.9177042991736,415.29183749987374
2021-05-01,314.99944538509675,434.16832693473344,409.5614074740513
2021-06-01,323.86642704020653,444.49561175496245,419.6607530665536
2021-07-01,336.1845363343337,458.65610096274867,433.5485249618434
2021-08-01,342.7670645508391,471.7031809864985,445.11259943846835
2021-09-01,350.43017389973056,483.3476075394488,455.893252022983
2021-10-01,330.88682528738855,,
